Company,Title,Max Comp,Link
Fidelis Companies,Principal Verification Engineer,$450,https://www.linkedin.com/jobs/view/4397287194
"KIOXIA America, Inc.",Principal Industry Standards Engineer - 2236,"259,030.00",https://www.linkedin.com/jobs/view/4379897163
OpenAI,"Datacenter Hardware Operations Technician, AI Compute Infrastructure - Stargate",Not Found (or not listed),https://www.linkedin.com/jobs/view/4302910491
OpenAI,"Software Engineer, Scaled Abuse",Not Found (or not listed),https://www.linkedin.com/jobs/view/4397973812
OpenAI,"Solutions Engineer, Financial Services",Not Found (or not listed),https://www.linkedin.com/jobs/view/4359850357
HCLTech,Senior Hardware Design Engineer - High Speed Board Design,Not Found (or not listed),https://www.linkedin.com/jobs/view/4400591410
NVIDIA,AI Hardware Architect,"287,500 USD",https://www.linkedin.com/jobs/view/4395478544
NVIDIA,Senior ASIC Infrastructure Engineer,"287,500 USD",https://www.linkedin.com/jobs/view/4395481291
NVIDIA,Senior Circuit Design Engineer,"264,500 USD",https://www.linkedin.com/jobs/view/4395478349
NVIDIA,Principal Digital Design Engineer,"368,000 USD",https://www.linkedin.com/jobs/view/4395484499
NVIDIA,Senior Deep Learning Performance Architect,"356,500 USD",https://www.linkedin.com/jobs/view/4395481506
NVIDIA,"Senior Software Engineer, Hardware Tools and Methodology Development","264,500 USD",https://www.linkedin.com/jobs/view/4395470563
NVIDIA,Principal Digital Design Engineer,"368,000 USD",https://www.linkedin.com/jobs/view/4395484499
NVIDIA,Senior Deep Learning Performance Architect,"356,500 USD",https://www.linkedin.com/jobs/view/4395481506
NVIDIA,Senior Systems Software Engineer - GPU Performance at Scale,"356,500 USD",https://www.linkedin.com/jobs/view/4395471725
NVIDIA,Senior PDK Engineer,"310,500 USD",https://www.linkedin.com/jobs/view/4395487181
NVIDIA,Principal Software Engineer – Large-Scale LLM Memory and Storage Systems,"431,250 USD",https://www.linkedin.com/jobs/view/4395491334
NVIDIA,Senior ASIC Design Verification Engineer - LPU,"310,500 USD",https://www.linkedin.com/jobs/view/4395489432
NVIDIA,Technical Product Lead - Autonomous vehicles,"327,750 USD",https://www.linkedin.com/jobs/view/4395482317
NVIDIA,Technical Program Manager - AI Labs,"322,000 USD",https://www.linkedin.com/jobs/view/4406258050
NVIDIA,"Senior Design Engineer, Coherent High Speed Interconnect","310,500 USD",https://www.linkedin.com/jobs/view/4403676472
